"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешной авторизации в приложение","757","checkSuccessTest","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","769","checkLoginWithEmptyPassword","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка валидного заполнения персональных данных при оформлени заказа","1278","valideFilling","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка успешной авторизации в приложение","770","checkSuccessTest","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","662","checkInvalideLogin","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.LoginTest","Firefox","tests.LoginTest","checkInvalideLogin"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","653","checkLoginWithEmptyPassword","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1094","invalideFillingZipcode","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","667","checkLoginWithEmptyUsername","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1968","addItemInBasketTest","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1127","invalideFillingLastName","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","522","checkInvalideLogin","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка валидного заполнения персональных данных при оформлени заказа","1164","valideFilling","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1090","invalideFillingFirstName","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка валидного заполнения персональных данных при оформлени заказа","1085","valideFilling","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1036","cancelCheckout","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1660","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1119","invalideFillingZipcode","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1110","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка валидного заполнения персональных данных при оформлени заказа","1795","valideFilling","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","734","checkLoginWithEmptyUsername","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1293","invalideFillingLastName","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1180","addItemInBasketTest","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка отмены заполнения пресональных данных при оформлении заказа","989","cancelCheckout","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1096","invalideFillingFirstName","SauceDemo Smoke Test","2026-08-21","passed","2026-08-21","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
