"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешной авторизации в приложение","640","checkSuccessTest","SauceDemo Smoke Test","Fri Apr 24 20:00:08 UTC 2026","passed","Fri Apr 24 20:00:08 UTC 2026","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","1047","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Apr 24 20:00:05 UTC 2026","passed","Fri Apr 24 20:00:06 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","699","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Apr 24 20:00:20 UTC 2026","passed","Fri Apr 24 20:00:21 UTC 2026","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1170","addItemInBasketTest","SauceDemo Smoke Test","Fri Apr 24 19:59:48 UTC 2026","passed","Fri Apr 24 19:59:49 UTC 2026","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка валидного заполнения персональных данных при оформлени заказа","1369","valideFilling","SauceDemo Smoke Test","Fri Apr 24 19:59:59 UTC 2026","passed","Fri Apr 24 20:00:00 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка валидного заполнения персональных данных при оформлени заказа","1577","valideFilling","SauceDemo Smoke Test","Fri Apr 24 19:59:51 UTC 2026","passed","Fri Apr 24 19:59:53 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка валидного заполнения персональных данных при оформлени заказа","1428","valideFilling","SauceDemo Smoke Test","Fri Apr 24 19:59:54 UTC 2026","passed","Fri Apr 24 19:59:55 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1094","invalideFillingFirstName","SauceDemo Smoke Test","Fri Apr 24 20:00:11 UTC 2026","passed","Fri Apr 24 20:00:12 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","480","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Apr 24 20:00:02 UTC 2026","passed","Fri Apr 24 20:00:02 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка отмены заполнения пресональных данных при оформлении заказа","942","cancelCheckout","SauceDemo Smoke Test","Fri Apr 24 20:00:31 UTC 2026","passed","Fri Apr 24 20:00:32 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
