"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1540","addItemInBasketTest","SauceDemo Smoke Test","Fri Aug 29 19:22:46 UTC 2025","passed","Fri Aug 29 19:22:47 UTC 2025","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1191","invalideFillingZipcode","SauceDemo Smoke Test","Fri Aug 29 19:23:20 UTC 2025","passed","Fri Aug 29 19:23:21 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1133","invalideFillingFirstName","SauceDemo Smoke Test","Fri Aug 29 19:23:07 UTC 2025","passed","Fri Aug 29 19:23:08 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка успешной авторизации в приложение","541","checkSuccessTest","SauceDemo Smoke Test","Fri Aug 29 19:22:52 UTC 2025","passed","Fri Aug 29 19:22:52 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","493","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Aug 29 19:22:57 UTC 2025","passed","Fri Aug 29 19:22:57 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","671","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Aug 29 19:22:59 UTC 2025","passed","Fri Aug 29 19:23:00 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка отмены заполнения пресональных данных при оформлении заказа","866","cancelCheckout","SauceDemo Smoke Test","Fri Aug 29 19:23:01 UTC 2025","passed","Fri Aug 29 19:23:01 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","579","checkInvalideLogin","SauceDemo Smoke Test","Fri Aug 29 19:22:54 UTC 2025","passed","Fri Aug 29 19:22:55 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1047","cancelCheckout","SauceDemo Smoke Test","Fri Aug 29 19:23:26 UTC 2025","passed","Fri Aug 29 19:23:27 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
"Проверка валидного заполнения персональных данных при оформлени заказа","1058","valideFilling","SauceDemo Smoke Test","Fri Aug 29 19:22:48 UTC 2025","passed","Fri Aug 29 19:22:49 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля First Name при оформлении заказа","925","invalideFillingFirstName","SauceDemo Smoke Test","Fri Aug 29 19:22:53 UTC 2025","passed","Fri Aug 29 19:22:54 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1281","addItemInBasketTest","SauceDemo Smoke Test","Fri Aug 29 19:22:45 UTC 2025","passed","Fri Aug 29 19:22:46 UTC 2025","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","751","checkInvalideLogin","SauceDemo Smoke Test","Fri Aug 29 19:23:10 UTC 2025","passed","Fri Aug 29 19:23:11 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkInvalideLogin"
