"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1306","addItemInBasketTest","SauceDemo Smoke Test","Mon Jun 16 18:57:58 GMT 2025","passed","Mon Jun 16 18:58:00 GMT 2025","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка невалидного заполнения поля First Name при оформлении заказа","925","invalideFillingFirstName","SauceDemo Smoke Test","Mon Jun 16 18:58:06 GMT 2025","passed","Mon Jun 16 18:58:07 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка успешной авторизации в приложение","965","checkSuccessTest","SauceDemo Smoke Test","Mon Jun 16 18:58:19 GMT 2025","passed","Mon Jun 16 18:58:20 GMT 2025","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1058","cancelCheckout","SauceDemo Smoke Test","Mon Jun 16 18:58:14 GMT 2025","passed","Mon Jun 16 18:58:15 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","566","checkInvalideLogin","SauceDemo Smoke Test","Mon Jun 16 18:58:08 GMT 2025","passed","Mon Jun 16 18:58:08 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1755","cancelCheckout","SauceDemo Smoke Test","Mon Jun 16 18:58:46 GMT 2025","passed","Mon Jun 16 18:58:48 GMT 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","644","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Mon Jun 16 18:58:01 GMT 2025","passed","Mon Jun 16 18:58:01 GMT 2025","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1839","invalideFillingLastName","SauceDemo Smoke Test","Mon Jun 16 18:58:30 GMT 2025","passed","Mon Jun 16 18:58:32 GMT 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","1002","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Mon Jun 16 18:58:42 GMT 2025","passed","Mon Jun 16 18:58:43 GMT 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка валидного заполнения персональных данных при оформлени заказа","1247","valideFilling","SauceDemo Smoke Test","Mon Jun 16 18:58:03 GMT 2025","passed","Mon Jun 16 18:58:05 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка валидного заполнения персональных данных при оформлени заказа","2197","valideFilling","SauceDemo Smoke Test","Mon Jun 16 18:58:09 GMT 2025","passed","Mon Jun 16 18:58:12 GMT 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1313","invalideFillingLastName","SauceDemo Smoke Test","Mon Jun 16 18:58:09 GMT 2025","passed","Mon Jun 16 18:58:10 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1880","invalideFillingZipcode","SauceDemo Smoke Test","Mon Jun 16 18:58:38 GMT 2025","passed","Mon Jun 16 18:58:40 GMT 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка валидного заполнения персональных данных при оформлени заказа","2093","valideFilling","SauceDemo Smoke Test","Mon Jun 16 18:58:15 GMT 2025","passed","Mon Jun 16 18:58:17 GMT 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1564","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Mon Jun 16 18:58:05 GMT 2025","passed","Mon Jun 16 18:58:06 GMT 2025","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","594","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Mon Jun 16 18:58:13 GMT 2025","passed","Mon Jun 16 18:58:14 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","989","invalideFillingZipcode","SauceDemo Smoke Test","Mon Jun 16 18:58:12 GMT 2025","passed","Mon Jun 16 18:58:13 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка валидного заполнения персональных данных при оформлени заказа","1033","valideFilling","SauceDemo Smoke Test","Mon Jun 16 18:58:02 GMT 2025","passed","Mon Jun 16 18:58:03 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","444","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Mon Jun 16 18:58:11 GMT 2025","passed","Mon Jun 16 18:58:11 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","794","checkInvalideLogin","SauceDemo Smoke Test","Mon Jun 16 18:58:27 GMT 2025","passed","Mon Jun 16 18:58:28 GMT 2025","tests.LoginTest","Firefox","tests.LoginTest","checkInvalideLogin"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","2149","addItemInBasketTest","SauceDemo Smoke Test","Mon Jun 16 18:57:59 GMT 2025","passed","Mon Jun 16 18:58:01 GMT 2025","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","814","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Mon Jun 16 18:58:35 GMT 2025","passed","Mon Jun 16 18:58:36 GMT 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка успешной авторизации в приложение","640","checkSuccessTest","SauceDemo Smoke Test","Mon Jun 16 18:58:05 GMT 2025","passed","Mon Jun 16 18:58:06 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1963","invalideFillingFirstName","SauceDemo Smoke Test","Mon Jun 16 18:58:23 GMT 2025","passed","Mon Jun 16 18:58:24 GMT 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
