"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1296","cancelCheckout","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","778","checkLoginWithEmptyUsername","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка отмены заполнения пресональных данных при оформлении заказа","942","cancelCheckout","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка успешной авторизации в приложение","956","checkSuccessTest","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1492","invalideFillingLastName","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка валидного заполнения персональных данных при оформлени заказа","1077","valideFilling","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1232","invalideFillingLastName","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","507","checkLoginWithEmptyUsername","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1093","addItemInBasketTest","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка валидного заполнения персональных данных при оформлени заказа","1499","valideFilling","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1332","invalideFillingZipcode","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка валидного заполнения персональных данных при оформлени заказа","1114","valideFilling","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1288","invalideFillingFirstName","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка валидного заполнения персональных данных при оформлени заказа","1949","valideFilling","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1638","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","767","checkLoginWithEmptyPassword","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","743","checkInvalideLogin","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.LoginTest","Firefox","tests.LoginTest","checkInvalideLogin"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","585","checkInvalideLogin","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","754","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка невалидного заполнения поля First Name при оформлении заказа","955","invalideFillingFirstName","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1605","addItemInBasketTest","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка успешной авторизации в приложение","631","checkSuccessTest","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","693","checkLoginWithEmptyPassword","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1171","invalideFillingZipcode","SauceDemo Smoke Test","2026-09-18","passed","2026-09-18","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
