"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешной авторизации в приложение","795","checkSuccessTest","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1208","invalideFillingZipcode","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1447","invalideFillingLastName","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1246","cancelCheckout","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
"Проверка валидного заполнения персональных данных при оформлени заказа","1404","valideFilling","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1169","cancelCheckout","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка валидного заполнения персональных данных при оформлени заказа","2026","valideFilling","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1037","invalideFillingFirstName","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","745","checkLoginWithEmptyPassword","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1180","invalideFillingLastName","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1176","invalideFillingFirstName","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","651","checkLoginWithEmptyUsername","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1714","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1911","addItemInBasketTest","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","762","checkLoginWithEmptyPassword","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1456","addItemInBasketTest","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","644","checkInvalideLogin","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.LoginTest","Firefox","tests.LoginTest","checkInvalideLogin"
"Проверка валидного заполнения персональных данных при оформлени заказа","1600","valideFilling","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1186","invalideFillingZipcode","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1001","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка валидного заполнения персональных данных при оформлени заказа","1200","valideFilling","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","686","checkInvalideLogin","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка успешной авторизации в приложение","788","checkSuccessTest","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","735","checkLoginWithEmptyUsername","SauceDemo Smoke Test","2026-09-04","passed","2026-09-04","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
