"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","779","checkLoginWithEmptyPassword","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1679","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1526","invalideFillingLastName","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1339","addItemInBasketTest","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка успешной авторизации в приложение","808","checkSuccessTest","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","638","checkInvalideLogin","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1228","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","666","checkLoginWithEmptyPassword","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка валидного заполнения персональных данных при оформлени заказа","1506","valideFilling","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","596","checkLoginWithEmptyUsername","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка валидного заполнения персональных данных при оформлени заказа","1586","valideFilling","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка валидного заполнения персональных данных при оформлени заказа","1528","valideFilling","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1481","invalideFillingZipcode","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1332","invalideFillingZipcode","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1147","invalideFillingFirstName","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1112","invalideFillingFirstName","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","654","checkInvalideLogin","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.LoginTest","Firefox","tests.LoginTest","checkInvalideLogin"
"Проверка успешной авторизации в приложение","742","checkSuccessTest","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
"Проверка валидного заполнения персональных данных при оформлени заказа","1279","valideFilling","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1535","invalideFillingLastName","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1077","cancelCheckout","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1084","cancelCheckout","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","999","checkLoginWithEmptyUsername","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1640","addItemInBasketTest","SauceDemo Smoke Test","2026-06-05","passed","2026-06-05","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
