"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1727","addItemInBasketTest","SauceDemo Smoke Test","Fri Apr 17 20:03:03 UTC 2026","passed","Fri Apr 17 20:03:05 UTC 2026","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1512","invalideFillingZipcode","SauceDemo Smoke Test","Fri Apr 17 20:03:47 UTC 2026","passed","Fri Apr 17 20:03:48 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка валидного заполнения персональных данных при оформлени заказа","1868","valideFilling","SauceDemo Smoke Test","Fri Apr 17 20:03:14 UTC 2026","passed","Fri Apr 17 20:03:16 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка успешной авторизации в приложение","959","checkSuccessTest","SauceDemo Smoke Test","Fri Apr 17 20:03:12 UTC 2026","passed","Fri Apr 17 20:03:13 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1511","invalideFillingZipcode","SauceDemo Smoke Test","Fri Apr 17 20:03:21 UTC 2026","passed","Fri Apr 17 20:03:22 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1489","invalideFillingLastName","SauceDemo Smoke Test","Fri Apr 17 20:03:35 UTC 2026","passed","Fri Apr 17 20:03:37 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","1056","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Apr 17 20:03:19 UTC 2026","passed","Fri Apr 17 20:03:20 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1192","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Apr 17 20:03:06 UTC 2026","passed","Fri Apr 17 20:03:07 UTC 2026","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1306","cancelCheckout","SauceDemo Smoke Test","Fri Apr 17 20:03:24 UTC 2026","passed","Fri Apr 17 20:03:26 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1662","invalideFillingLastName","SauceDemo Smoke Test","Fri Apr 17 20:03:17 UTC 2026","passed","Fri Apr 17 20:03:19 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
