"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1120","invalideFillingLastName","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1457","invalideFillingLastName","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","616","checkLoginWithEmptyUsername","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1032","cancelCheckout","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","664","checkInvalideLogin","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка успешной авторизации в приложение","792","checkSuccessTest","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1206","invalideFillingZipcode","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","637","checkLoginWithEmptyUsername","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка валидного заполнения персональных данных при оформлени заказа","1454","valideFilling","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","566","checkInvalideLogin","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.LoginTest","Firefox","tests.LoginTest","checkInvalideLogin"
"Проверка валидного заполнения персональных данных при оформлени заказа","1631","valideFilling","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка валидного заполнения персональных данных при оформлени заказа","1872","valideFilling","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1786","addItemInBasketTest","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка успешной авторизации в приложение","670","checkSuccessTest","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1109","cancelCheckout","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1088","invalideFillingFirstName","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","763","checkLoginWithEmptyPassword","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1121","invalideFillingZipcode","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка валидного заполнения персональных данных при оформлени заказа","1329","valideFilling","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1385","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","938","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","638","checkLoginWithEmptyPassword","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1141","invalideFillingFirstName","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1455","addItemInBasketTest","SauceDemo Smoke Test","2026-07-10","passed","2026-07-10","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
