"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","825","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Aug 15 19:26:33 UTC 2025","passed","Fri Aug 15 19:26:34 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка валидного заполнения персональных данных при оформлени заказа","1596","valideFilling","SauceDemo Smoke Test","Fri Aug 15 19:26:05 UTC 2025","passed","Fri Aug 15 19:26:07 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","807","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Aug 15 19:26:27 UTC 2025","passed","Fri Aug 15 19:26:28 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1223","invalideFillingZipcode","SauceDemo Smoke Test","Fri Aug 15 19:26:30 UTC 2025","passed","Fri Aug 15 19:26:31 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка успешной авторизации в приложение","867","checkSuccessTest","SauceDemo Smoke Test","Fri Aug 15 19:26:14 UTC 2025","passed","Fri Aug 15 19:26:15 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1047","invalideFillingFirstName","SauceDemo Smoke Test","Fri Aug 15 19:26:04 UTC 2025","passed","Fri Aug 15 19:26:05 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1561","addItemInBasketTest","SauceDemo Smoke Test","Fri Aug 15 19:25:57 UTC 2025","passed","Fri Aug 15 19:25:58 UTC 2025","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1113","invalideFillingFirstName","SauceDemo Smoke Test","Fri Aug 15 19:26:17 UTC 2025","passed","Fri Aug 15 19:26:18 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка валидного заполнения персональных данных при оформлени заказа","1111","valideFilling","SauceDemo Smoke Test","Fri Aug 15 19:25:59 UTC 2025","passed","Fri Aug 15 19:26:00 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","768","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Aug 15 19:25:58 UTC 2025","passed","Fri Aug 15 19:25:59 UTC 2025","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1272","addItemInBasketTest","SauceDemo Smoke Test","Fri Aug 15 19:25:56 UTC 2025","passed","Fri Aug 15 19:25:57 UTC 2025","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
