"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1400","addItemInBasketTest","SauceDemo Smoke Test","Fri Nov 07 19:25:55 UTC 2025","passed","Fri Nov 07 19:25:57 UTC 2025","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","724","checkInvalideLogin","SauceDemo Smoke Test","Fri Nov 07 19:26:20 UTC 2025","passed","Fri Nov 07 19:26:21 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkInvalideLogin"
"Проверка валидного заполнения персональных данных при оформлени заказа","1450","valideFilling","SauceDemo Smoke Test","Fri Nov 07 19:26:04 UTC 2025","passed","Fri Nov 07 19:26:06 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка валидного заполнения персональных данных при оформлени заказа","1108","valideFilling","SauceDemo Smoke Test","Fri Nov 07 19:26:02 UTC 2025","passed","Fri Nov 07 19:26:03 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1214","invalideFillingZipcode","SauceDemo Smoke Test","Fri Nov 07 19:26:12 UTC 2025","passed","Fri Nov 07 19:26:13 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка успешной авторизации в приложение","652","checkSuccessTest","SauceDemo Smoke Test","Fri Nov 07 19:26:05 UTC 2025","passed","Fri Nov 07 19:26:06 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
"Проверка отмены заполнения пресональных данных при оформлении заказа","811","cancelCheckout","SauceDemo Smoke Test","Fri Nov 07 19:26:15 UTC 2025","passed","Fri Nov 07 19:26:15 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1045","cancelCheckout","SauceDemo Smoke Test","Fri Nov 07 19:26:36 UTC 2025","passed","Fri Nov 07 19:26:37 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1275","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Nov 07 19:26:00 UTC 2025","passed","Fri Nov 07 19:26:01 UTC 2025","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1094","invalideFillingFirstName","SauceDemo Smoke Test","Fri Nov 07 19:26:17 UTC 2025","passed","Fri Nov 07 19:26:18 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","3677","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Nov 07 19:25:57 UTC 2025","passed","Fri Nov 07 19:26:01 UTC 2025","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка валидного заполнения персональных данных при оформлени заказа","1386","valideFilling","SauceDemo Smoke Test","Fri Nov 07 19:26:03 UTC 2025","passed","Fri Nov 07 19:26:05 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка валидного заполнения персональных данных при оформлени заказа","1541","valideFilling","SauceDemo Smoke Test","Fri Nov 07 19:26:09 UTC 2025","passed","Fri Nov 07 19:26:10 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка успешной авторизации в приложение","994","checkSuccessTest","SauceDemo Smoke Test","Fri Nov 07 19:26:13 UTC 2025","passed","Fri Nov 07 19:26:14 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1322","invalideFillingLastName","SauceDemo Smoke Test","Fri Nov 07 19:26:09 UTC 2025","passed","Fri Nov 07 19:26:10 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","680","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Nov 07 19:26:33 UTC 2025","passed","Fri Nov 07 19:26:34 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1111","invalideFillingLastName","SauceDemo Smoke Test","Fri Nov 07 19:26:23 UTC 2025","passed","Fri Nov 07 19:26:24 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1620","addItemInBasketTest","SauceDemo Smoke Test","Fri Nov 07 19:25:56 UTC 2025","passed","Fri Nov 07 19:25:57 UTC 2025","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1133","invalideFillingZipcode","SauceDemo Smoke Test","Fri Nov 07 19:26:30 UTC 2025","passed","Fri Nov 07 19:26:31 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1239","invalideFillingFirstName","SauceDemo Smoke Test","Fri Nov 07 19:26:06 UTC 2025","passed","Fri Nov 07 19:26:07 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","719","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Nov 07 19:26:13 UTC 2025","passed","Fri Nov 07 19:26:14 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","609","checkInvalideLogin","SauceDemo Smoke Test","Fri Nov 07 19:26:08 UTC 2025","passed","Fri Nov 07 19:26:08 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","543","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Nov 07 19:26:11 UTC 2025","passed","Fri Nov 07 19:26:11 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
