"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1085","invalideFillingLastName","SauceDemo Smoke Test","Fri Dec 26 19:27:17 UTC 2025","passed","Fri Dec 26 19:27:18 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1381","invalideFillingZipcode","SauceDemo Smoke Test","Fri Dec 26 19:27:02 UTC 2025","passed","Fri Dec 26 19:27:03 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1169","invalideFillingLastName","SauceDemo Smoke Test","Fri Dec 26 19:27:00 UTC 2025","passed","Fri Dec 26 19:27:01 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","875","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Dec 26 19:26:51 UTC 2025","passed","Fri Dec 26 19:26:52 UTC 2025","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка валидного заполнения персональных данных при оформлени заказа","1177","valideFilling","SauceDemo Smoke Test","Fri Dec 26 19:26:52 UTC 2025","passed","Fri Dec 26 19:26:53 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1474","addItemInBasketTest","SauceDemo Smoke Test","Fri Dec 26 19:26:49 UTC 2025","passed","Fri Dec 26 19:26:51 UTC 2025","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","625","checkInvalideLogin","SauceDemo Smoke Test","Fri Dec 26 19:27:14 UTC 2025","passed","Fri Dec 26 19:27:15 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkInvalideLogin"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","657","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Dec 26 19:27:04 UTC 2025","passed","Fri Dec 26 19:27:05 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","683","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Dec 26 19:27:27 UTC 2025","passed","Fri Dec 26 19:27:28 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка валидного заполнения персональных данных при оформлени заказа","1466","valideFilling","SauceDemo Smoke Test","Fri Dec 26 19:26:59 UTC 2025","passed","Fri Dec 26 19:27:00 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка успешной авторизации в приложение","732","checkSuccessTest","SauceDemo Smoke Test","Fri Dec 26 19:27:07 UTC 2025","passed","Fri Dec 26 19:27:08 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1150","invalideFillingFirstName","SauceDemo Smoke Test","Fri Dec 26 19:26:57 UTC 2025","passed","Fri Dec 26 19:26:58 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1351","addItemInBasketTest","SauceDemo Smoke Test","Fri Dec 26 19:26:49 UTC 2025","passed","Fri Dec 26 19:26:50 UTC 2025","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка успешной авторизации в приложение","645","checkSuccessTest","SauceDemo Smoke Test","Fri Dec 26 19:26:56 UTC 2025","passed","Fri Dec 26 19:26:56 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
"Проверка отмены заполнения пресональных данных при оформлении заказа","884","cancelCheckout","SauceDemo Smoke Test","Fri Dec 26 19:27:05 UTC 2025","passed","Fri Dec 26 19:27:06 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","734","checkInvalideLogin","SauceDemo Smoke Test","Fri Dec 26 19:26:58 UTC 2025","passed","Fri Dec 26 19:26:59 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","572","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Dec 26 19:27:01 UTC 2025","passed","Fri Dec 26 19:27:02 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1033","invalideFillingFirstName","SauceDemo Smoke Test","Fri Dec 26 19:27:11 UTC 2025","passed","Fri Dec 26 19:27:12 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1223","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Dec 26 19:26:54 UTC 2025","passed","Fri Dec 26 19:26:55 UTC 2025","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1085","invalideFillingZipcode","SauceDemo Smoke Test","Fri Dec 26 19:27:24 UTC 2025","passed","Fri Dec 26 19:27:25 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка валидного заполнения персональных данных при оформлени заказа","1500","valideFilling","SauceDemo Smoke Test","Fri Dec 26 19:27:03 UTC 2025","passed","Fri Dec 26 19:27:05 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","661","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Dec 26 19:27:21 UTC 2025","passed","Fri Dec 26 19:27:22 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка валидного заполнения персональных данных при оформлени заказа","1469","valideFilling","SauceDemo Smoke Test","Fri Dec 26 19:26:54 UTC 2025","passed","Fri Dec 26 19:26:55 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1015","cancelCheckout","SauceDemo Smoke Test","Fri Dec 26 19:27:31 UTC 2025","passed","Fri Dec 26 19:27:32 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
