"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка валидного заполнения персональных данных при оформлени заказа","2256","valideFilling","SauceDemo Smoke Test","Mon Jun 16 17:30:27 GMT 2025","passed","Mon Jun 16 17:30:29 GMT 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1493","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Mon Jun 16 17:30:22 GMT 2025","passed","Mon Jun 16 17:30:23 GMT 2025","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","647","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Mon Jun 16 17:30:27 GMT 2025","passed","Mon Jun 16 17:30:28 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка отмены заполнения пресональных данных при оформлении заказа","909","cancelCheckout","SauceDemo Smoke Test","Mon Jun 16 17:30:31 GMT 2025","passed","Mon Jun 16 17:30:32 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","764","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Mon Jun 16 17:30:52 GMT 2025","passed","Mon Jun 16 17:30:53 GMT 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","477","checkInvalideLogin","SauceDemo Smoke Test","Mon Jun 16 17:30:24 GMT 2025","passed","Mon Jun 16 17:30:25 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1859","cancelCheckout","SauceDemo Smoke Test","Mon Jun 16 17:31:03 GMT 2025","passed","Mon Jun 16 17:31:05 GMT 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
"Проверка валидного заполнения персональных данных при оформлени заказа","1055","valideFilling","SauceDemo Smoke Test","Mon Jun 16 17:30:18 GMT 2025","passed","Mon Jun 16 17:30:19 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","502","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Mon Jun 16 17:30:30 GMT 2025","passed","Mon Jun 16 17:30:30 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1205","invalideFillingLastName","SauceDemo Smoke Test","Mon Jun 16 17:30:25 GMT 2025","passed","Mon Jun 16 17:30:27 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","735","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Mon Jun 16 17:31:00 GMT 2025","passed","Mon Jun 16 17:31:01 GMT 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1975","invalideFillingZipcode","SauceDemo Smoke Test","Mon Jun 16 17:30:55 GMT 2025","passed","Mon Jun 16 17:30:57 GMT 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1704","invalideFillingFirstName","SauceDemo Smoke Test","Mon Jun 16 17:30:40 GMT 2025","passed","Mon Jun 16 17:30:42 GMT 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","913","checkInvalideLogin","SauceDemo Smoke Test","Mon Jun 16 17:30:44 GMT 2025","passed","Mon Jun 16 17:30:45 GMT 2025","tests.LoginTest","Firefox","tests.LoginTest","checkInvalideLogin"
"Проверка невалидного заполнения поля First Name при оформлении заказа","932","invalideFillingFirstName","SauceDemo Smoke Test","Mon Jun 16 17:30:23 GMT 2025","passed","Mon Jun 16 17:30:24 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","693","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Mon Jun 16 17:30:17 GMT 2025","passed","Mon Jun 16 17:30:18 GMT 2025","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
