"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","702","checkInvalideLogin","SauceDemo Smoke Test","Fri Aug 08 19:25:46 GMT 2025","passed","Fri Aug 08 19:25:47 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1671","addItemInBasketTest","SauceDemo Smoke Test","Fri Aug 08 19:25:37 GMT 2025","passed","Fri Aug 08 19:25:39 GMT 2025","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка валидного заполнения персональных данных при оформлени заказа","1218","valideFilling","SauceDemo Smoke Test","Fri Aug 08 19:25:42 GMT 2025","passed","Fri Aug 08 19:25:43 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","781","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Aug 08 19:26:07 GMT 2025","passed","Fri Aug 08 19:26:08 GMT 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка отмены заполнения пресональных данных при оформлении заказа","999","cancelCheckout","SauceDemo Smoke Test","Fri Aug 08 19:25:53 GMT 2025","passed","Fri Aug 08 19:25:54 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","796","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Aug 08 19:25:39 GMT 2025","passed","Fri Aug 08 19:25:39 GMT 2025","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","783","checkInvalideLogin","SauceDemo Smoke Test","Fri Aug 08 19:26:01 GMT 2025","passed","Fri Aug 08 19:26:02 GMT 2025","tests.LoginTest","Firefox","tests.LoginTest","checkInvalideLogin"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1413","addItemInBasketTest","SauceDemo Smoke Test","Fri Aug 08 19:25:36 GMT 2025","passed","Fri Aug 08 19:25:38 GMT 2025","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1152","invalideFillingFirstName","SauceDemo Smoke Test","Fri Aug 08 19:25:57 GMT 2025","passed","Fri Aug 08 19:25:59 GMT 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1329","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Aug 08 19:25:41 GMT 2025","passed","Fri Aug 08 19:25:43 GMT 2025","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","535","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Aug 08 19:25:52 GMT 2025","passed","Fri Aug 08 19:25:53 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","675","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Aug 08 19:25:49 GMT 2025","passed","Fri Aug 08 19:25:50 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1115","cancelCheckout","SauceDemo Smoke Test","Fri Aug 08 19:26:17 GMT 2025","passed","Fri Aug 08 19:26:18 GMT 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1130","invalideFillingLastName","SauceDemo Smoke Test","Fri Aug 08 19:25:48 GMT 2025","passed","Fri Aug 08 19:25:49 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1236","invalideFillingFirstName","SauceDemo Smoke Test","Fri Aug 08 19:25:45 GMT 2025","passed","Fri Aug 08 19:25:46 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка валидного заполнения персональных данных при оформлени заказа","1447","valideFilling","SauceDemo Smoke Test","Fri Aug 08 19:25:46 GMT 2025","passed","Fri Aug 08 19:25:47 GMT 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка успешной авторизации в приложение","599","checkSuccessTest","SauceDemo Smoke Test","Fri Aug 08 19:25:43 GMT 2025","passed","Fri Aug 08 19:25:44 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","845","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Aug 08 19:26:14 GMT 2025","passed","Fri Aug 08 19:26:15 GMT 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1184","invalideFillingLastName","SauceDemo Smoke Test","Fri Aug 08 19:26:04 GMT 2025","passed","Fri Aug 08 19:26:05 GMT 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1257","invalideFillingZipcode","SauceDemo Smoke Test","Fri Aug 08 19:26:10 GMT 2025","passed","Fri Aug 08 19:26:11 GMT 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка успешной авторизации в приложение","823","checkSuccessTest","SauceDemo Smoke Test","Fri Aug 08 19:25:54 GMT 2025","passed","Fri Aug 08 19:25:55 GMT 2025","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1184","invalideFillingZipcode","SauceDemo Smoke Test","Fri Aug 08 19:25:51 GMT 2025","passed","Fri Aug 08 19:25:52 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка валидного заполнения персональных данных при оформлени заказа","1540","valideFilling","SauceDemo Smoke Test","Fri Aug 08 19:25:50 GMT 2025","passed","Fri Aug 08 19:25:51 GMT 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка валидного заполнения персональных данных при оформлени заказа","1189","valideFilling","SauceDemo Smoke Test","Fri Aug 08 19:25:40 GMT 2025","passed","Fri Aug 08 19:25:41 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
