"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","794","checkLoginWithEmptyPassword","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка успешной авторизации в приложение","668","checkSuccessTest","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
"Проверка успешной авторизации в приложение","1119","checkSuccessTest","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1114","invalideFillingFirstName","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка валидного заполнения персональных данных при оформлени заказа","1145","valideFilling","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1218","invalideFillingLastName","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","766","checkLoginWithEmptyUsername","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка валидного заполнения персональных данных при оформлени заказа","1237","valideFilling","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","2018","addItemInBasketTest","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","698","checkInvalideLogin","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1279","invalideFillingZipcode","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","670","checkLoginWithEmptyPassword","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","854","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1117","invalideFillingFirstName","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1457","invalideFillingZipcode","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","572","checkLoginWithEmptyUsername","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1223","addItemInBasketTest","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1605","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка валидного заполнения персональных данных при оформлени заказа","1869","valideFilling","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка валидного заполнения персональных данных при оформлени заказа","2190","valideFilling","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1437","invalideFillingLastName","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка отмены заполнения пресональных данных при оформлении заказа","833","cancelCheckout","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1352","cancelCheckout","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","853","checkInvalideLogin","SauceDemo Smoke Test","2026-09-11","passed","2026-09-11","tests.LoginTest","Firefox","tests.LoginTest","checkInvalideLogin"
