"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1330","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка валидного заполнения персональных данных при оформлени заказа","1465","valideFilling","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка валидного заполнения персональных данных при оформлени заказа","1857","valideFilling","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка успешной авторизации в приложение","779","checkSuccessTest","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","694","checkLoginWithEmptyPassword","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1128","invalideFillingZipcode","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка валидного заполнения персональных данных при оформлени заказа","1270","valideFilling","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка успешной авторизации в приложение","827","checkSuccessTest","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1217","invalideFillingZipcode","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1387","addItemInBasketTest","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","617","checkInvalideLogin","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.LoginTest","Firefox","tests.LoginTest","checkInvalideLogin"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1443","invalideFillingLastName","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","711","checkLoginWithEmptyPassword","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1125","invalideFillingFirstName","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","680","checkLoginWithEmptyUsername","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","654","checkInvalideLogin","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1504","invalideFillingLastName","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1017","cancelCheckout","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1097","cancelCheckout","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1068","invalideFillingFirstName","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1060","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","583","checkLoginWithEmptyUsername","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка валидного заполнения персональных данных при оформлени заказа","1361","valideFilling","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1385","addItemInBasketTest","SauceDemo Smoke Test","2026-06-19","passed","2026-06-19","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
