"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1113","invalideFillingFirstName","SauceDemo Smoke Test","Fri Oct 24 19:26:29 UTC 2025","passed","Fri Oct 24 19:26:30 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","801","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Oct 24 19:26:10 UTC 2025","passed","Fri Oct 24 19:26:10 UTC 2025","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","556","checkInvalideLogin","SauceDemo Smoke Test","Fri Oct 24 19:26:17 UTC 2025","passed","Fri Oct 24 19:26:17 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка успешной авторизации в приложение","787","checkSuccessTest","SauceDemo Smoke Test","Fri Oct 24 19:26:26 UTC 2025","passed","Fri Oct 24 19:26:27 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка отмены заполнения пресональных данных при оформлении заказа","896","cancelCheckout","SauceDemo Smoke Test","Fri Oct 24 19:26:23 UTC 2025","passed","Fri Oct 24 19:26:24 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка успешной авторизации в приложение","555","checkSuccessTest","SauceDemo Smoke Test","Fri Oct 24 19:26:14 UTC 2025","passed","Fri Oct 24 19:26:15 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","735","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Oct 24 19:26:39 UTC 2025","passed","Fri Oct 24 19:26:40 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1032","invalideFillingZipcode","SauceDemo Smoke Test","Fri Oct 24 19:26:20 UTC 2025","passed","Fri Oct 24 19:26:21 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка валидного заполнения персональных данных при оформлени заказа","1247","valideFilling","SauceDemo Smoke Test","Fri Oct 24 19:26:12 UTC 2025","passed","Fri Oct 24 19:26:14 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","542","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Oct 24 19:26:19 UTC 2025","passed","Fri Oct 24 19:26:20 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка валидного заполнения персональных данных при оформлени заказа","1545","valideFilling","SauceDemo Smoke Test","Fri Oct 24 19:26:18 UTC 2025","passed","Fri Oct 24 19:26:19 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
