"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","635","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Nov 21 19:26:41 UTC 2025","passed","Fri Nov 21 19:26:41 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","905","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Nov 21 19:26:11 UTC 2025","passed","Fri Nov 21 19:26:12 UTC 2025","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1068","invalideFillingZipcode","SauceDemo Smoke Test","Fri Nov 21 19:26:44 UTC 2025","passed","Fri Nov 21 19:26:45 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","602","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Nov 21 19:26:47 UTC 2025","passed","Fri Nov 21 19:26:48 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1266","addItemInBasketTest","SauceDemo Smoke Test","Fri Nov 21 19:26:09 UTC 2025","passed","Fri Nov 21 19:26:10 UTC 2025","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1004","invalideFillingFirstName","SauceDemo Smoke Test","Fri Nov 21 19:26:31 UTC 2025","passed","Fri Nov 21 19:26:32 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1559","addItemInBasketTest","SauceDemo Smoke Test","Fri Nov 21 19:26:09 UTC 2025","passed","Fri Nov 21 19:26:11 UTC 2025","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка успешной авторизации в приложение","693","checkSuccessTest","SauceDemo Smoke Test","Fri Nov 21 19:26:28 UTC 2025","passed","Fri Nov 21 19:26:28 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка отмены заполнения пресональных данных при оформлении заказа","852","cancelCheckout","SauceDemo Smoke Test","Fri Nov 21 19:26:26 UTC 2025","passed","Fri Nov 21 19:26:26 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка валидного заполнения персональных данных при оформлени заказа","1434","valideFilling","SauceDemo Smoke Test","Fri Nov 21 19:26:14 UTC 2025","passed","Fri Nov 21 19:26:16 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка успешной авторизации в приложение","608","checkSuccessTest","SauceDemo Smoke Test","Fri Nov 21 19:26:16 UTC 2025","passed","Fri Nov 21 19:26:17 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
"Проверка валидного заполнения персональных данных при оформлени заказа","1447","valideFilling","SauceDemo Smoke Test","Fri Nov 21 19:26:19 UTC 2025","passed","Fri Nov 21 19:26:20 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1119","invalideFillingLastName","SauceDemo Smoke Test","Fri Nov 21 19:26:20 UTC 2025","passed","Fri Nov 21 19:26:21 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","706","checkInvalideLogin","SauceDemo Smoke Test","Fri Nov 21 19:26:19 UTC 2025","passed","Fri Nov 21 19:26:19 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1371","invalideFillingZipcode","SauceDemo Smoke Test","Fri Nov 21 19:26:22 UTC 2025","passed","Fri Nov 21 19:26:24 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","617","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Nov 21 19:26:24 UTC 2025","passed","Fri Nov 21 19:26:25 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1099","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Nov 21 19:26:14 UTC 2025","passed","Fri Nov 21 19:26:16 UTC 2025","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
