"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1330","invalideFillingFirstName","SauceDemo Smoke Test","Fri Mar 27 19:49:50 UTC 2026","passed","Fri Mar 27 19:49:51 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка успешной авторизации в приложение","977","checkSuccessTest","SauceDemo Smoke Test","Fri Mar 27 19:49:47 UTC 2026","passed","Fri Mar 27 19:49:48 UTC 2026","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","870","checkInvalideLogin","SauceDemo Smoke Test","Fri Mar 27 19:49:53 UTC 2026","passed","Fri Mar 27 19:49:54 UTC 2026","tests.LoginTest","Firefox","tests.LoginTest","checkInvalideLogin"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","693","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Mar 27 19:50:07 UTC 2026","passed","Fri Mar 27 19:50:08 UTC 2026","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","962","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Mar 27 19:49:03 UTC 2026","passed","Fri Mar 27 19:49:04 UTC 2026","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","584","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Mar 27 19:49:13 UTC 2026","passed","Fri Mar 27 19:49:14 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1042","invalideFillingLastName","SauceDemo Smoke Test","Fri Mar 27 19:49:57 UTC 2026","passed","Fri Mar 27 19:49:58 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","917","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Mar 27 19:50:00 UTC 2026","passed","Fri Mar 27 19:50:01 UTC 2026","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка валидного заполнения персональных данных при оформлени заказа","1397","valideFilling","SauceDemo Smoke Test","Fri Mar 27 19:49:06 UTC 2026","passed","Fri Mar 27 19:49:08 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","717","checkInvalideLogin","SauceDemo Smoke Test","Fri Mar 27 19:49:11 UTC 2026","passed","Fri Mar 27 19:49:11 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
