"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1296","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Sep 19 19:23:43 UTC 2025","passed","Fri Sep 19 19:23:44 UTC 2025","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1164","invalideFillingFirstName","SauceDemo Smoke Test","Fri Sep 19 19:23:59 UTC 2025","passed","Fri Sep 19 19:24:00 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1255","invalideFillingLastName","SauceDemo Smoke Test","Fri Sep 19 19:24:05 UTC 2025","passed","Fri Sep 19 19:24:07 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","680","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Sep 19 19:23:50 UTC 2025","passed","Fri Sep 19 19:23:51 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка валидного заполнения персональных данных при оформлени заказа","1528","valideFilling","SauceDemo Smoke Test","Fri Sep 19 19:23:47 UTC 2025","passed","Fri Sep 19 19:23:49 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1206","invalideFillingFirstName","SauceDemo Smoke Test","Fri Sep 19 19:23:46 UTC 2025","passed","Fri Sep 19 19:23:47 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","673","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Sep 19 19:23:53 UTC 2025","passed","Fri Sep 19 19:23:54 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1441","invalideFillingZipcode","SauceDemo Smoke Test","Fri Sep 19 19:23:52 UTC 2025","passed","Fri Sep 19 19:23:53 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка валидного заполнения персональных данных при оформлени заказа","1247","valideFilling","SauceDemo Smoke Test","Fri Sep 19 19:23:41 UTC 2025","passed","Fri Sep 19 19:23:42 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка успешной авторизации в приложение","658","checkSuccessTest","SauceDemo Smoke Test","Fri Sep 19 19:23:45 UTC 2025","passed","Fri Sep 19 19:23:46 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
"Проверка отмены заполнения пресональных данных при оформлении заказа","991","cancelCheckout","SauceDemo Smoke Test","Fri Sep 19 19:23:54 UTC 2025","passed","Fri Sep 19 19:23:55 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","812","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Sep 19 19:24:09 UTC 2025","passed","Fri Sep 19 19:24:10 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1562","addItemInBasketTest","SauceDemo Smoke Test","Fri Sep 19 19:23:39 UTC 2025","passed","Fri Sep 19 19:23:40 UTC 2025","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1185","cancelCheckout","SauceDemo Smoke Test","Fri Sep 19 19:24:18 UTC 2025","passed","Fri Sep 19 19:24:20 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","872","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Sep 19 19:23:40 UTC 2025","passed","Fri Sep 19 19:23:41 UTC 2025","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка успешной авторизации в приложение","811","checkSuccessTest","SauceDemo Smoke Test","Fri Sep 19 19:23:56 UTC 2025","passed","Fri Sep 19 19:23:57 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
