"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","673","checkInvalideLogin","SauceDemo Smoke Test","Fri Mar 13 19:43:29 UTC 2026","passed","Fri Mar 13 19:43:30 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1224","invalideFillingZipcode","SauceDemo Smoke Test","Fri Mar 13 19:43:33 UTC 2026","passed","Fri Mar 13 19:43:35 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка валидного заполнения персональных данных при оформлени заказа","1729","valideFilling","SauceDemo Smoke Test","Fri Mar 13 19:43:35 UTC 2026","passed","Fri Mar 13 19:43:37 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","708","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Mar 13 19:43:35 UTC 2026","passed","Fri Mar 13 19:43:36 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","544","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Mar 13 19:43:32 UTC 2026","passed","Fri Mar 13 19:43:33 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка валидного заполнения персональных данных при оформлени заказа","1707","valideFilling","SauceDemo Smoke Test","Fri Mar 13 19:43:30 UTC 2026","passed","Fri Mar 13 19:43:32 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка успешной авторизации в приложение","996","checkSuccessTest","SauceDemo Smoke Test","Fri Mar 13 19:43:39 UTC 2026","passed","Fri Mar 13 19:43:40 UTC 2026","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1360","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Mar 13 19:43:25 UTC 2026","passed","Fri Mar 13 19:43:27 UTC 2026","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1121","invalideFillingFirstName","SauceDemo Smoke Test","Fri Mar 13 19:43:28 UTC 2026","passed","Fri Mar 13 19:43:29 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка отмены заполнения пресональных данных при оформлении заказа","845","cancelCheckout","SauceDemo Smoke Test","Fri Mar 13 19:43:37 UTC 2026","passed","Fri Mar 13 19:43:37 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
