"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","473","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Mon Jun 16 18:07:01 GMT 2025","passed","Mon Jun 16 18:07:01 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1845","invalideFillingZipcode","SauceDemo Smoke Test","Mon Jun 16 18:07:28 GMT 2025","passed","Mon Jun 16 18:07:30 GMT 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","692","checkInvalideLogin","SauceDemo Smoke Test","Mon Jun 16 18:07:17 GMT 2025","passed","Mon Jun 16 18:07:18 GMT 2025","tests.LoginTest","Firefox","tests.LoginTest","checkInvalideLogin"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","991","invalideFillingZipcode","SauceDemo Smoke Test","Mon Jun 16 18:07:02 GMT 2025","passed","Mon Jun 16 18:07:03 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1782","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Mon Jun 16 18:06:54 GMT 2025","passed","Mon Jun 16 18:06:56 GMT 2025","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","545","checkInvalideLogin","SauceDemo Smoke Test","Mon Jun 16 18:06:58 GMT 2025","passed","Mon Jun 16 18:06:58 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","728","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Mon Jun 16 18:07:33 GMT 2025","passed","Mon Jun 16 18:07:33 GMT 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","842","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Mon Jun 16 18:07:25 GMT 2025","passed","Mon Jun 16 18:07:26 GMT 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1272","addItemInBasketTest","SauceDemo Smoke Test","Mon Jun 16 18:06:48 GMT 2025","passed","Mon Jun 16 18:06:49 GMT 2025","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка невалидного заполнения поля First Name при оформлении заказа","947","invalideFillingFirstName","SauceDemo Smoke Test","Mon Jun 16 18:06:56 GMT 2025","passed","Mon Jun 16 18:06:57 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка успешной авторизации в приложение","602","checkSuccessTest","SauceDemo Smoke Test","Mon Jun 16 18:06:55 GMT 2025","passed","Mon Jun 16 18:06:56 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
