"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","992","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка валидного заполнения персональных данных при оформлени заказа","2084","valideFilling","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка отмены заполнения пресональных данных при оформлении заказа","965","cancelCheckout","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1422","invalideFillingLastName","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1223","invalideFillingFirstName","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","961","checkLoginWithEmptyPassword","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1489","addItemInBasketTest","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1526","invalideFillingLastName","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка успешной авторизации в приложение","1016","checkSuccessTest","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","1004","checkLoginWithEmptyUsername","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1644","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1529","invalideFillingFirstName","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1976","addItemInBasketTest","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка успешной авторизации в приложение","690","checkSuccessTest","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1490","invalideFillingZipcode","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","605","checkLoginWithEmptyUsername","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка валидного заполнения персональных данных при оформлени заказа","1539","valideFilling","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","759","checkLoginWithEmptyPassword","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","1092","checkInvalideLogin","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.LoginTest","Firefox","tests.LoginTest","checkInvalideLogin"
"Проверка валидного заполнения персональных данных при оформлени заказа","1330","valideFilling","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка валидного заполнения персональных данных при оформлени заказа","2207","valideFilling","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1581","invalideFillingZipcode","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","736","checkInvalideLogin","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1488","cancelCheckout","SauceDemo Smoke Test","2026-08-07","passed","2026-08-07","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
