"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","2109","addItemInBasketTest","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1611","addItemInBasketTest","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","663","checkLoginWithEmptyUsername","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка успешной авторизации в приложение","857","checkSuccessTest","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","664","checkInvalideLogin","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.LoginTest","Firefox","tests.LoginTest","checkInvalideLogin"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1257","invalideFillingFirstName","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка валидного заполнения персональных данных при оформлени заказа","2092","valideFilling","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1616","invalideFillingZipcode","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","788","checkLoginWithEmptyPassword","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","1088","checkLoginWithEmptyPassword","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка валидного заполнения персональных данных при оформлени заказа","1382","valideFilling","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1434","cancelCheckout","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1562","invalideFillingLastName","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1198","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1577","invalideFillingZipcode","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1072","cancelCheckout","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1442","invalideFillingFirstName","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","746","checkLoginWithEmptyUsername","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка валидного заполнения персональных данных при оформлени заказа","1559","valideFilling","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1477","invalideFillingLastName","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","828","checkInvalideLogin","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка успешной авторизации в приложение","810","checkSuccessTest","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1774","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка валидного заполнения персональных данных при оформлени заказа","2361","valideFilling","SauceDemo Smoke Test","2026-07-03","passed","2026-07-03","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
