"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","809","checkInvalideLogin","SauceDemo Smoke Test","Fri Oct 10 19:24:48 UTC 2025","passed","Fri Oct 10 19:24:49 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkInvalideLogin"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","1006","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Oct 10 19:24:31 UTC 2025","passed","Fri Oct 10 19:24:32 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1279","invalideFillingZipcode","SauceDemo Smoke Test","Fri Oct 10 19:24:58 UTC 2025","passed","Fri Oct 10 19:24:59 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1633","addItemInBasketTest","SauceDemo Smoke Test","Fri Oct 10 19:24:19 UTC 2025","passed","Fri Oct 10 19:24:21 UTC 2025","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","828","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Oct 10 19:25:01 UTC 2025","passed","Fri Oct 10 19:25:02 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1233","invalideFillingLastName","SauceDemo Smoke Test","Fri Oct 10 19:24:51 UTC 2025","passed","Fri Oct 10 19:24:53 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","757","checkInvalideLogin","SauceDemo Smoke Test","Fri Oct 10 19:24:28 UTC 2025","passed","Fri Oct 10 19:24:29 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка валидного заполнения персональных данных при оформлени заказа","1335","valideFilling","SauceDemo Smoke Test","Fri Oct 10 19:24:22 UTC 2025","passed","Fri Oct 10 19:24:23 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1338","invalideFillingZipcode","SauceDemo Smoke Test","Fri Oct 10 19:24:32 UTC 2025","passed","Fri Oct 10 19:24:34 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1095","invalideFillingLastName","SauceDemo Smoke Test","Fri Oct 10 19:24:29 UTC 2025","passed","Fri Oct 10 19:24:31 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1284","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Oct 10 19:24:24 UTC 2025","passed","Fri Oct 10 19:24:25 UTC 2025","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1102","cancelCheckout","SauceDemo Smoke Test","Fri Oct 10 19:25:05 UTC 2025","passed","Fri Oct 10 19:25:06 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","585","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Oct 10 19:24:34 UTC 2025","passed","Fri Oct 10 19:24:35 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка невалидного заполнения поля First Name при оформлении заказа","2028","invalideFillingFirstName","SauceDemo Smoke Test","Fri Oct 10 19:24:44 UTC 2025","passed","Fri Oct 10 19:24:46 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","816","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Oct 10 19:24:55 UTC 2025","passed","Fri Oct 10 19:24:56 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1357","addItemInBasketTest","SauceDemo Smoke Test","Fri Oct 10 19:24:18 UTC 2025","passed","Fri Oct 10 19:24:20 UTC 2025","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","901","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Oct 10 19:24:20 UTC 2025","passed","Fri Oct 10 19:24:21 UTC 2025","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1023","cancelCheckout","SauceDemo Smoke Test","Fri Oct 10 19:24:35 UTC 2025","passed","Fri Oct 10 19:24:36 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
