"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1058","invalideFillingFirstName","SauceDemo Smoke Test","Fri Nov 28 19:25:44 UTC 2025","passed","Fri Nov 28 19:25:45 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","566","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Nov 28 19:25:51 UTC 2025","passed","Fri Nov 28 19:25:51 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка успешной авторизации в приложение","618","checkSuccessTest","SauceDemo Smoke Test","Fri Nov 28 19:25:54 UTC 2025","passed","Fri Nov 28 19:25:54 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1025","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Nov 28 19:25:41 UTC 2025","passed","Fri Nov 28 19:25:42 UTC 2025","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка отмены заполнения пресональных данных при оформлении заказа","779","cancelCheckout","SauceDemo Smoke Test","Fri Nov 28 19:25:52 UTC 2025","passed","Fri Nov 28 19:25:52 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка валидного заполнения персональных данных при оформлени заказа","1377","valideFilling","SauceDemo Smoke Test","Fri Nov 28 19:25:41 UTC 2025","passed","Fri Nov 28 19:25:42 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","887","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Nov 28 19:25:38 UTC 2025","passed","Fri Nov 28 19:25:39 UTC 2025","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1134","invalideFillingLastName","SauceDemo Smoke Test","Fri Nov 28 19:25:46 UTC 2025","passed","Fri Nov 28 19:25:47 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","578","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Nov 28 19:26:13 UTC 2025","passed","Fri Nov 28 19:26:13 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","506","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Nov 28 19:25:48 UTC 2025","passed","Fri Nov 28 19:25:48 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","593","checkInvalideLogin","SauceDemo Smoke Test","Fri Nov 28 19:26:00 UTC 2025","passed","Fri Nov 28 19:26:01 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkInvalideLogin"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1555","addItemInBasketTest","SauceDemo Smoke Test","Fri Nov 28 19:25:37 UTC 2025","passed","Fri Nov 28 19:25:38 UTC 2025","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","619","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Nov 28 19:26:06 UTC 2025","passed","Fri Nov 28 19:26:07 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1347","addItemInBasketTest","SauceDemo Smoke Test","Fri Nov 28 19:25:36 UTC 2025","passed","Fri Nov 28 19:25:37 UTC 2025","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","969","invalideFillingLastName","SauceDemo Smoke Test","Fri Nov 28 19:26:03 UTC 2025","passed","Fri Nov 28 19:26:04 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
