"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","856","checkLoginWithEmptyUsername","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1371","invalideFillingZipcode","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка успешной авторизации в приложение","551","checkSuccessTest","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1101","addItemInBasketTest","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка валидного заполнения персональных данных при оформлени заказа","1814","valideFilling","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","845","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1768","addItemInBasketTest","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","686","checkLoginWithEmptyPassword","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка невалидного заполнения поля First Name при оформлении заказа","991","invalideFillingFirstName","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1171","invalideFillingFirstName","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","732","checkInvalideLogin","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.LoginTest","Firefox","tests.LoginTest","checkInvalideLogin"
"Проверка валидного заполнения персональных данных при оформлени заказа","1267","valideFilling","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","650","checkInvalideLogin","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка валидного заполнения персональных данных при оформлени заказа","1025","valideFilling","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1148","invalideFillingLastName","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","517","checkLoginWithEmptyUsername","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","780","checkLoginWithEmptyPassword","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка успешной авторизации в приложение","935","checkSuccessTest","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка валидного заполнения персональных данных при оформлени заказа","1559","valideFilling","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1096","invalideFillingZipcode","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка отмены заполнения пресональных данных при оформлении заказа","810","cancelCheckout","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1116","cancelCheckout","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1377","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1384","invalideFillingLastName","SauceDemo Smoke Test","2026-09-25","passed","2026-09-25","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
