"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1089","cancelCheckout","SauceDemo Smoke Test","Fri May 22 20:47:28 UTC 2026","passed","Fri May 22 20:47:30 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка валидного заполнения персональных данных при оформлени заказа","1917","valideFilling","SauceDemo Smoke Test","Fri May 22 20:47:23 UTC 2026","passed","Fri May 22 20:47:25 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1379","invalideFillingLastName","SauceDemo Smoke Test","Fri May 22 20:47:23 UTC 2026","passed","Fri May 22 20:47:24 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка успешной авторизации в приложение","768","checkSuccessTest","SauceDemo Smoke Test","Fri May 22 20:47:19 UTC 2026","passed","Fri May 22 20:47:19 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1193","addItemInBasketTest","SauceDemo Smoke Test","Fri May 22 20:47:12 UTC 2026","passed","Fri May 22 20:47:13 UTC 2026","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","953","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri May 22 20:47:47 UTC 2026","passed","Fri May 22 20:47:48 UTC 2026","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка валидного заполнения персональных данных при оформлени заказа","1226","valideFilling","SauceDemo Smoke Test","Fri May 22 20:47:15 UTC 2026","passed","Fri May 22 20:47:16 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка валидного заполнения персональных данных при оформлени заказа","1890","valideFilling","SauceDemo Smoke Test","Fri May 22 20:47:28 UTC 2026","passed","Fri May 22 20:47:30 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка валидного заполнения персональных данных при оформлени заказа","1447","valideFilling","SauceDemo Smoke Test","Fri May 22 20:47:17 UTC 2026","passed","Fri May 22 20:47:18 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","660","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri May 22 20:47:27 UTC 2026","passed","Fri May 22 20:47:28 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1302","cancelCheckout","SauceDemo Smoke Test","Fri May 22 20:47:57 UTC 2026","passed","Fri May 22 20:47:59 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","885","addItemInBasketTest","SauceDemo Smoke Test","Fri May 22 20:47:14 UTC 2026","passed","Fri May 22 20:47:15 UTC 2026","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка успешной авторизации в приложение","994","checkSuccessTest","SauceDemo Smoke Test","Fri May 22 20:47:32 UTC 2026","passed","Fri May 22 20:47:33 UTC 2026","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1409","invalideFillingFirstName","SauceDemo Smoke Test","Fri May 22 20:47:36 UTC 2026","passed","Fri May 22 20:47:37 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
