"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","712","checkInvalideLogin","SauceDemo Smoke Test","Fri Jan 23 19:34:19 UTC 2026","passed","Fri Jan 23 19:34:20 UTC 2026","tests.LoginTest","Firefox","tests.LoginTest","checkInvalideLogin"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1400","addItemInBasketTest","SauceDemo Smoke Test","Fri Jan 23 19:33:54 UTC 2026","passed","Fri Jan 23 19:33:56 UTC 2026","tests.AddItemInBasketTest","Chrome","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1092","invalideFillingFirstName","SauceDemo Smoke Test","Fri Jan 23 19:34:02 UTC 2026","passed","Fri Jan 23 19:34:03 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1136","invalideFillingLastName","SauceDemo Smoke Test","Fri Jan 23 19:34:22 UTC 2026","passed","Fri Jan 23 19:34:23 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка успешной авторизации в приложение","750","checkSuccessTest","SauceDemo Smoke Test","Fri Jan 23 19:34:13 UTC 2026","passed","Fri Jan 23 19:34:13 UTC 2026","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","836","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Jan 23 19:33:56 UTC 2026","passed","Fri Jan 23 19:33:57 UTC 2026","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","695","checkInvalideLogin","SauceDemo Smoke Test","Fri Jan 23 19:34:04 UTC 2026","passed","Fri Jan 23 19:34:04 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1135","invalideFillingFirstName","SauceDemo Smoke Test","Fri Jan 23 19:34:16 UTC 2026","passed","Fri Jan 23 19:34:17 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка успешной авторизации в приложение","596","checkSuccessTest","SauceDemo Smoke Test","Fri Jan 23 19:34:01 UTC 2026","passed","Fri Jan 23 19:34:02 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessTest"
"Проверка отмены заполнения пресональных данных при оформлении заказа","799","cancelCheckout","SauceDemo Smoke Test","Fri Jan 23 19:34:11 UTC 2026","passed","Fri Jan 23 19:34:11 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","cancelCheckout"
"Проверка валидного заполнения персональных данных при оформлени заказа","1397","valideFilling","SauceDemo Smoke Test","Fri Jan 23 19:34:08 UTC 2026","passed","Fri Jan 23 19:34:10 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","572","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Jan 23 19:34:10 UTC 2026","passed","Fri Jan 23 19:34:10 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","714","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Jan 23 19:34:25 UTC 2026","passed","Fri Jan 23 19:34:26 UTC 2026","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","525","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Jan 23 19:34:07 UTC 2026","passed","Fri Jan 23 19:34:07 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1102","invalideFillingLastName","SauceDemo Smoke Test","Fri Jan 23 19:34:05 UTC 2026","passed","Fri Jan 23 19:34:06 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка валидного заполнения персональных данных при оформлени заказа","1540","valideFilling","SauceDemo Smoke Test","Fri Jan 23 19:34:04 UTC 2026","passed","Fri Jan 23 19:34:05 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1043","cancelCheckout","SauceDemo Smoke Test","Fri Jan 23 19:34:35 UTC 2026","passed","Fri Jan 23 19:34:36 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1436","invalideFillingZipcode","SauceDemo Smoke Test","Fri Jan 23 19:34:08 UTC 2026","passed","Fri Jan 23 19:34:09 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1211","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Jan 23 19:34:00 UTC 2026","passed","Fri Jan 23 19:34:01 UTC 2026","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка валидного заполнения персональных данных при оформлени заказа","1142","valideFilling","SauceDemo Smoke Test","Fri Jan 23 19:33:58 UTC 2026","passed","Fri Jan 23 19:33:59 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1169","invalideFillingZipcode","SauceDemo Smoke Test","Fri Jan 23 19:34:29 UTC 2026","passed","Fri Jan 23 19:34:30 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","735","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Jan 23 19:34:32 UTC 2026","passed","Fri Jan 23 19:34:33 UTC 2026","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1474","addItemInBasketTest","SauceDemo Smoke Test","Fri Jan 23 19:33:55 UTC 2026","passed","Fri Jan 23 19:33:56 UTC 2026","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка валидного заполнения персональных данных при оформлени заказа","1437","valideFilling","SauceDemo Smoke Test","Fri Jan 23 19:33:59 UTC 2026","passed","Fri Jan 23 19:34:01 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
