"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1239","invalideFillingLastName","SauceDemo Smoke Test","Fri Mar 20 19:45:49 UTC 2026","passed","Fri Mar 20 19:45:50 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1015","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Mar 20 19:45:39 UTC 2026","passed","Fri Mar 20 19:45:40 UTC 2026","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка валидного заполнения персональных данных при оформлени заказа","1303","valideFilling","SauceDemo Smoke Test","Fri Mar 20 19:45:40 UTC 2026","passed","Fri Mar 20 19:45:42 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка отмены заполнения пресональных данных при оформлении заказа","1234","cancelCheckout","SauceDemo Smoke Test","Fri Mar 20 19:46:22 UTC 2026","passed","Fri Mar 20 19:46:23 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","cancelCheckout"
"Проверка валидного заполнения персональных данных при оформлени заказа","1812","valideFilling","SauceDemo Smoke Test","Fri Mar 20 19:45:47 UTC 2026","passed","Fri Mar 20 19:45:49 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1547","invalideFillingZipcode","SauceDemo Smoke Test","Fri Mar 20 19:45:52 UTC 2026","passed","Fri Mar 20 19:45:53 UTC 2026","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1353","invalideFillingLastName","SauceDemo Smoke Test","Fri Mar 20 19:46:08 UTC 2026","passed","Fri Mar 20 19:46:09 UTC 2026","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1497","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Mar 20 19:45:42 UTC 2026","passed","Fri Mar 20 19:45:44 UTC 2026","tests.CartTest","Firefox","tests.CartTest","addItemInBasketTest"
"Проверка успешной авторизации в приложение","909","checkSuccessTest","SauceDemo Smoke Test","Fri Mar 20 19:45:57 UTC 2026","passed","Fri Mar 20 19:45:58 UTC 2026","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","943","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Mar 20 19:46:19 UTC 2026","passed","Fri Mar 20 19:46:20 UTC 2026","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
