"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1187","invalideFillingZipcode","SauceDemo Smoke Test","Fri Oct 03 19:22:25 UTC 2025","passed","Fri Oct 03 19:22:26 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1222","invalideFillingZipcode","SauceDemo Smoke Test","Fri Oct 03 19:22:47 UTC 2025","passed","Fri Oct 03 19:22:48 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","779","Добавление товара в корзину в количестве 1 единицы","SauceDemo Smoke Test","Fri Oct 03 19:22:14 UTC 2025","passed","Fri Oct 03 19:22:15 UTC 2025","tests.CartTest","Chrome","tests.CartTest","addItemInBasketTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","676","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Oct 03 19:22:27 UTC 2025","passed","Fri Oct 03 19:22:27 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","587","checkInvalideLogin","SauceDemo Smoke Test","Fri Oct 03 19:22:21 UTC 2025","passed","Fri Oct 03 19:22:22 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1013","invalideFillingFirstName","SauceDemo Smoke Test","Fri Oct 03 19:22:20 UTC 2025","passed","Fri Oct 03 19:22:21 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка валидного заполнения персональных данных при оформлени заказа","1397","valideFilling","SauceDemo Smoke Test","Fri Oct 03 19:22:17 UTC 2025","passed","Fri Oct 03 19:22:18 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1604","addItemInBasketTest","SauceDemo Smoke Test","Fri Oct 03 19:22:13 UTC 2025","passed","Fri Oct 03 19:22:14 UTC 2025","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка валидного заполнения персональных данных при оформлени заказа","1665","valideFilling","SauceDemo Smoke Test","Fri Oct 03 19:22:26 UTC 2025","passed","Fri Oct 03 19:22:28 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка валидного заполнения персональных данных при оформлени заказа","1092","valideFilling","SauceDemo Smoke Test","Fri Oct 03 19:22:15 UTC 2025","passed","Fri Oct 03 19:22:16 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка успешной авторизации в приложение","862","checkSuccessTest","SauceDemo Smoke Test","Fri Oct 03 19:22:30 UTC 2025","passed","Fri Oct 03 19:22:31 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","801","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Oct 03 19:22:44 UTC 2025","passed","Fri Oct 03 19:22:44 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
